#,Item No.,Item Description,In Stock,Committed,Ordered,Available,Inventory UoM
1,3 STAR WC,3 STAR WC,,,,,PCS
2,3948000H,3948000H CUBE CERAMIC WASHBASIN UNDER COUNTER 49.2X37 CM GROHE,24,9,130,145,PCS
3,5106S1050,5106 PORCELAIN SKIRTING 10x50,,,,,PCS
4,5204S1050,5204 PORCELAIN SKIRTING 10x50,,,,,PCS
5,60005S1060,60005 SKIRTING 10x60,72,,,72,PCS
6,6003S1060,6003 SKIRTING 10x60,,,,,PCS
7,6005S960,6005 PORCELAIN SKIRTING 9x60,39,,,39,PCS
8,6020WB,6020 WB WITH HALF PEDESTAL,,,,,PCS
9,60236S1060,6023 SKIRTING 10x60,,,,,PCS
10,6057S1060,6057 SKIRTING 10x60,,,,,PCS
11,6060S1060,6060 SKIRTING 10x60,,,,,PCS
12,6068S1060,6068 SKIRTING 10x60,151,,,151,PCS
13,6233S1060,6233 SKIRTING 10X60,,,,,PCS
14,6625S1060,6625 SKIRTING 10x60,,,,,PCS
15,6E109S1060,6E109 SKIRTING 10X60,168,,,168,PCS
16,6J111S1560,6J111 SKIRTING 15X60,115,,,115,PCS
17,88DJ207PNF8080,88DJ207PN PORCELAIN 80X80 CM FOSHAN XIN,,,,,M2
18,88DJ207PS1080,88DJ207PN PORCELAIN SKIRTING 10X80 CM FOSHAN XIN,,,,,PCS
19,8J112S1080,8J112 PORCELAIN SKIRTING 10X80,129,,,129,PCS
20,8J118S1080,8J118 PORCELAIN SKIRTING 10x80,,,,,PCS
21,9533S1050,9533 SKIRTING 10X50,,,,,PCS
22,9592S1050,9592 SKIRTING 10x50,,,,,PCS
23,99999,New Item,,,,,
24,AAN14011020,1401 WHITE GLOSSY PLAIN WALL 10X20 CM - AL ANWAR,,,,,M2
25,AAN140120,1401 WHITE GLOSSY PLAIN WALL 20X20 CM - AL ANWAR,291.54,267,,24.54,M2
26,AANBROWNTE23H00064BF3035,BROWNTE23H00064/B HEXA OUTDOOR FLOOR 30X34.7 CM AL ANWAR OMAN,,,,,M2
27,AANCRAFT23H00054F3035,CRAFT23H00054 HEXA OUTDOOR FLOOR 30X34.7 CM AL ANWAR OMAN,,,,,M2
28,AANCUBICO23H00144F3035,CUBICO23H00144 HEXA OUTDOOR FLOOR 30X34.7 CM AL ANWAR OMAN,2020.975,0.1,,2020.875,M2
29,AANCUBICO23H00146F3035,CUBICO23H00146 HEXA OUTDOOR FLOOR 30X34.7 CM AL ANWAR OMAN,0.214,,,0.214,M2
